,id,identifier,formula,polar_spg
250,66338f355e0d7b8300878254,mp-1029469,ZnSnN2,Pna2_1
251,66338f365e0d7b830087826c,mp-1103730,Na4Mg(GeSe3)2,C2
252,66338f375e0d7b8300878290,mp-27253,Au2O3,Fdd2
253,66338f375e0d7b83008782a0,mp-1080747,ScAlCO,P6_3mc
254,66338f385e0d7b83008782c4,mp-570485,SrAlSiH,P3m1
255,66338f395e0d7b83008782d4,mp-9813,WS2,R3m
256,66338eddb66c0740a594077e,mp-27017,LiSnPO4,Pna2_1
257,66338edfb66c0740a59407aa,mp-16956,Na3Sc2(PO4)3,Cc
258,66338edfb66c0740a59407ae,mp-558930,Zn(PO3)2,Cc
259,66338edfb66c0740a59407b6,mp-556797,K2Si3SnO9,R3
260,66338ee0b66c0740a59407c6,mp-556697,CaTa2Bi2O9,Cmc2_1
261,66338ee0b66c0740a59407ce,mp-1224049,K3H(SeO4)2,Cc
262,66338ee0b66c0740a59407d6,mp-755663,Ta2Pb2O7,Cmc2_1
263,66338ee1b66c0740a59407e6,mp-1224505,K6InP3,P1
264,66338ef4b66c0740a59407f2,mp-756316,Li3SbS4,Pmn2_1
265,66338ef4b66c0740a5940802,mp-560699,VBiPbO5,P1
266,66338ef4b66c0740a5940806,mp-1229128,Ag3PO4,R3c
267,66338ef5b66c0740a594081a,mp-697111,H2O,Cmc2_1
268,66338ef5b66c0740a5940826,mp-1101327,SrTaNO2,Pmc2_1
269,66338ef5b66c0740a594082a,mp-625150,ScHO2,Cmc2_1
270,66338ef6b66c0740a594084a,mp-938,GeTe,R3m
271,66338ef6b66c0740a5940856,mp-29825,K2Si2O5,Cc
272,66338ef7b66c0740a594085a,mp-556117,Ga3Pb5F19,I4cm
273,66338ef8b66c0740a594086a,mp-4779,Li2B4O7,I4_1cd
274,66338ef8b66c0740a5940872,mp-758337,Ca2P6O17,P2_1
275,66338ef9b66c0740a5940882,mp-560016,NaNb2PO8,P2_1
276,66338ef9b66c0740a5940892,mp-1223442,KSnAuSe3,P4cc
277,66338ef9b66c0740a5940896,mp-1214601,Ba5Re3IO15,P6_3cm
278,66338efab66c0740a59408a2,mp-27229,Sb6S2O15,Ccc2
279,66338efbb66c0740a59408c2,mp-1196950,TePb3Cl4O3,Pna2_1
280,66338efcb66c0740a59408ce,mp-41472,Ca5P3HO13,P6_3
281,66338efcb66c0740a59408d6,mp-1207478,Zr(ClO4)4,Cc
282,66338efdb66c0740a59408e6,mp-1200920,CaC2(NO)2,R3c
283,66338efdb66c0740a59408ee,mp-1221271,Na3Be3Pb2F13,P2_1
284,66338efeb66c0740a5940906,mp-1220871,NaAs3(PbO3)4,P6_3
285,66338efeb66c0740a594090e,mp-1020023,Li3AlSiO5,Pna2_1
286,66338efeb66c0740a5940916,mp-16996,Li3GaSiO5,Pna2_1
287,66338effb66c0740a594091e,mp-1198625,H7N2F,Pca2_1
288,66338effb66c0740a594092e,mp-559053,NaY(SeO3)2,Pna2_1
289,66338f00b66c0740a5940936,mp-1203906,Cs5Na(W2N5)2,I4_1
290,66338f01b66c0740a5940962,mp-29703,BaSi7N10,Pc
291,66338f01b66c0740a5940966,mp-17885,Ba2Ge2Te5,Pna2_1
292,66338f02b66c0740a594097a,mp-1220763,Nb3Al(PO4)6,R3
293,66338f03b66c0740a5940986,mp-707304,Be4Si2H2O9,Cmc2_1
294,66338f03b66c0740a594098e,mp-1239394,TiSb(PO4)3,R3c
295,66338f03b66c0740a594099a,mp-775149,Ti(SO4)2,R3
296,66338f04b66c0740a59409a6,mp-24610,LiP(HO2)2,Pna2_1
297,66338f04b66c0740a59409ae,mp-767165,K2LiVS4,Cc
298,66338f05b66c0740a59409d2,mp-9710,Sr2Si5N8,Pmn2_1
299,66338f06b66c0740a59409da,mp-560570,Rb2NaAl6F21,C2
300,66338f06b66c0740a59409de,mp-17905,Cs2Hg6S7,P4_2nm
301,66338f07b66c0740a59409f6,mp-1192393,Sr14(SnAs4)3,R3
302,66338f07b66c0740a5940a0a,mp-9113,CsBeAsO4,Pna2_1
303,66338f09b66c0740a5940a3a,mp-1218099,Ta6TiTl2O18,C2
304,66338f0ab66c0740a5940a3e,mp-556516,Tl2S,R3
305,66338f0ab66c0740a5940a4e,mp-643683,Ba5(Ga3H)2,P3c1
306,66338f0bb66c0740a5940a62,mp-6507,Na2Zn2Si2O7,Ama2
307,66338f0bb66c0740a5940a66,mp-6081,Ba2Ti(SiO4)2,P4bm
308,66338f0bb66c0740a5940a6e,mp-556781,Y3CuGeS7,P6_3
309,66338f0bb66c0740a5940a76,mp-558085,KNaGeO3,Pna2_1
310,66338f0cb66c0740a5940a82,mp-561173,Y3CuSiS7,P6_3
311,66338f0cb66c0740a5940a92,mp-29904,SbXe2F9,Cc
312,66338f0db66c0740a5940abe,mp-1024047,Na6ZnSe4,P6_3mc
313,66338f0eb66c0740a5940ad6,mp-1224063,K4Ba2SnAs4,Cc
314,66338f0eb66c0740a5940ada,mp-12171,K6MgO4,P6_3mc
315,66338f0fb66c0740a5940ade,mp-1213982,Cd(GaCl4)2,Pc
316,66338f0fb66c0740a5940af6,mp-556049,Sr4Br6O,P6_3mc
317,66338f0fb66c0740a5940afe,mp-17698,K6CdTe4,P6_3mc
318,66338f10b66c0740a5940b02,mp-17161,K6CdO4,P6_3mc
319,66338f11b66c0740a5940b22,mp-5114,K6HgS4,P6_3mc
320,66338f12b66c0740a5940b46,mp-561681,CsSO3,P6_3mc
321,66338f13b66c0740a5940b6a,mp-1105136,YTl(PSe3)2,P2_1
322,66338f13b66c0740a5940b7a,mp-696946,BaSn2(HO2)2,P2_1
323,66338f1c5e0d7b8300877ed4,mp-1216797,TiTl2(TeO4)3,C2
324,66338f1d5e0d7b8300877ee0,mp-1106089,Ba2InGaO5,Ima2
325,66338f1d5e0d7b8300877ef4,mp-4117,Li2Si2O5,Ccc2
326,66338f1e5e0d7b8300877f08,mp-1223039,KTaWO6,Ima2
327,66338f1f5e0d7b8300877f20,mp-1223396,KNbWO6,Ima2
328,66338f1f5e0d7b8300877f24,mp-1217830,TaTlWO6,Ima2
